exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},0,4.623818,0.5929,0.3615,0.0005
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},0,4.98389,0.5525,0.3397,0.002
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},0,5.748436,0.5485,0.2861,0.001
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},0,5.152029,0.4816,0.3535,0.002
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},0,4.634252,0.5902,0.3541,0.001
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},0,4.761089,0.5491,0.3467,0.0005
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},1,4.708245,0.546,0.3548,0.002
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},1,4.774788,0.616,0.3812,0.0005
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},1,4.87825,0.5218,0.3525,0.002
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},1,4.614752,0.5534,0.3711,0.001
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},1,4.435723,0.6032,0.367,0.001
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},1,4.702666,0.5997,0.37,0.0005
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},2,6.179247,0.6151,0.3931,0.00049863
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},2,4.133408,0.6235,0.4438,0.00199452
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},2,4.108176,0.6483,0.4362,0.00099726
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},2,4.404989,0.6129,0.3989,0.00049863
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},2,4.294966,0.5945,0.4047,0.00099726
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},2,4.287302,0.6353,0.4163,0.00199452
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},3,4.596199,0.6559,0.4066,0.00049454
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},3,4.342559,0.6531,0.4195,0.00197815
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},3,4.021129,0.6498,0.4127,0.00098907
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},3,4.940487,0.634,0.371,0.00049454
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},3,4.795702,0.6291,0.3571,0.00098907
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},3,4.261683,0.6415,0.3603,0.00197815
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},4,4.228151,0.648,0.3991,0.00048776
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},4,3.922354,0.6708,0.3938,0.00097553
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},4,3.867079,0.6588,0.4388,0.00195106
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},4,4.335709,0.6506,0.3951,0.00048776
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},4,4.084783,0.6637,0.4212,0.00195106
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},4,4.127917,0.655,0.3762,0.00097553
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},5,4.068253,0.6333,0.4274,0.00047839
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},5,3.979887,0.6268,0.4259,0.00191355
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},5,3.890162,0.6476,0.4496,0.00095677
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},5,4.285807,0.6314,0.4176,0.00047839
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},5,3.945419,0.6309,0.4303,0.00191355
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},5,3.984247,0.6335,0.4393,0.00095677
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},6,3.679237,0.6774,0.4708,0.00046651
169,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},6,3.759931,0.673,0.4571,0.00186603
172,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},6,3.678631,0.6664,0.4785,0.00093301
167,DPT,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},6,3.540696,0.6789,0.4652,0.00186603
168,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.05,3,2,{},6,3.753623,0.6659,0.4585,0.00046651
170,DPT,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},6,3.857468,0.6403,0.4525,0.00093301
171,DPT,tu-maxvit_nano_rw_256,0.0005,64,1e-05,0.1,3,2,{},7,3.753519,0.6684,0.4415,0.00045225
