exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},0,5.944795,0.5435,0.2885,0.0005
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},1,5.358765,0.5839,0.3548,0.0005
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},2,4.652119,0.6175,0.3707,0.00049863
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},3,5.646633,0.5578,0.0586,0.00049454
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},4,4.28915,0.632,0.3981,0.00048776
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},5,4.405554,0.6287,0.3115,0.00047839
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},6,4.726253,0.5911,0.2753,0.00046651
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},7,4.397786,0.6262,0.3032,0.00045225
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},8,4.090636,0.6004,0.3953,0.00043579
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},9,6.393228,0.5493,0.0216,0.00041728
138,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.1,3,2,{},0,5.431581,0.5565,0.3413,0.0005
140,DeepLabV3Plus,resnet34,0.0005,64,1e-05,0.1,3,2,{},0,5.114753,0.5661,0.3598,0.0005
136,DeepLabV3Plus,resnet34,0.001,128,1e-05,0.05,3,2,{},0,5.737484,0.5367,0.2912,0.001
137,DeepLabV3Plus,resnet34,0.001,64,1e-05,0.1,3,2,{},0,5.792211,0.5282,0.27,0.001
134,DeepLabV3Plus,resnet34,0.001,32,1e-05,0.1,3,2,{},0,5.830223,0.5455,0.1076,0.001
141,DeepLabV3Plus,resnet34,0.0005,64,1e-05,0.05,3,2,{},0,5.239757,0.5843,0.3339,0.0005
139,DeepLabV3Plus,resnet34,0.0005,32,1e-05,0.05,3,2,{},0,4.935776,0.5934,0.3464,0.0005
135,DeepLabV3Plus,resnet34,0.001,32,1e-05,0.05,3,2,{},0,5.952765,0.5302,0.2571,0.001
133,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.05,3,2,{},10,3.751503,0.6615,0.4175,0.00039695
138,DeepLabV3Plus,resnet34,0.0005,128,1e-05,0.1,3,2,{},1,5.15223,0.5962,0.3337,0.0005
136,DeepLabV3Plus,resnet34,0.001,128,1e-05,0.05,3,2,{},1,4.720311,0.6112,0.3544,0.001
140,DeepLabV3Plus,resnet34,0.0005,64,1e-05,0.1,3,2,{},1,4.709105,0.6192,0.3265,0.0005
137,DeepLabV3Plus,resnet34,0.001,64,1e-05,0.1,3,2,{},1,6.758665,0.5196,0.0085,0.001
141,DeepLabV3Plus,resnet34,0.0005,64,1e-05,0.05,3,2,{},1,4.873146,0.602,0.3614,0.0005
