exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},0,3.889302,0.6286,0.4208,0.003
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},1,3.725803,0.6662,0.4217,0.003
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},2,3.546408,0.6795,0.4633,0.00299178
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},3,3.834403,0.673,0.3691,0.00296722
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},4,3.327281,0.6924,0.478,0.00292658
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},5,3.464872,0.6763,0.4756,0.00287032
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},6,3.450984,0.6827,0.4653,0.00279904
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},7,3.431958,0.6873,0.4899,0.00271353
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},8,3.293276,0.7098,0.4773,0.00261472
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},9,3.364412,0.7086,0.4803,0.0025037
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},10,3.340594,0.7039,0.4825,0.00238168
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},0,4.266533,0.5996,0.3803,0.002
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},0,4.456983,0.569,0.3582,0.001
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},0,4.908185,0.5929,0.3457,0.003
