exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},0,5.016254,0.536,0.3019,0.001
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},0,4.647669,0.5743,0.3322,0.001
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},0,5.169818,0.5074,0.2423,0.001
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},0,4.228288,0.6032,0.3782,0.001
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},1,5.189281,0.5911,0.1432,0.001
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},1,5.367361,0.5575,0.2856,0.001
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},1,4.747266,0.5918,0.2376,0.001
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},1,3.622726,0.6499,0.4527,0.001
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},2,5.020888,0.523,0.3486,0.00098907
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},2,4.397367,0.5881,0.3687,0.00098907
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},3,6.066794,0.5408,0.0726,0.00095677
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},2,4.317709,0.5876,0.3856,0.00098907
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},3,4.309387,0.5851,0.4054,0.00095677
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},2,3.672687,0.646,0.4627,0.00098907
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},4,6.49264,0.5522,0.0254,0.00090451
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},4,4.358449,0.5999,0.3423,0.00090451
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},3,4.235377,0.6075,0.4024,0.00095677
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},5,4.987461,0.5894,0.3307,0.00083457
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},3,3.613062,0.678,0.4289,0.00095677
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},5,4.09893,0.6347,0.3519,0.00083457
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},6,5.220112,0.5761,0.2043,0.00075
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},4,4.055635,0.628,0.365,0.00090451
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},4,3.359151,0.6902,0.4742,0.00090451
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},6,3.633347,0.6549,0.4537,0.00075
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},7,3.965672,0.6472,0.3985,0.00065451
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},5,3.854575,0.6523,0.4297,0.00083457
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},7,3.786154,0.6437,0.4433,0.00065451
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},8,3.541367,0.6704,0.4639,0.00055226
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},5,3.735531,0.6559,0.4206,0.00083457
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},9,3.681309,0.6595,0.4525,0.00044774
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},8,3.753143,0.6432,0.449,0.00055226
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},6,3.837047,0.6472,0.4318,0.00075
192,UPerNet,resnet34,0.001,64,1e-05,0.1,3,2,{},10,3.485522,0.6844,0.4731,0.00034549
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},6,3.494279,0.6817,0.4603,0.00075
