exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
8,PSPNet,mit_b3,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.548481,0.4842,0.227,0.0001
9,PSPNet,timm-efficientnet-b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.303889,0.5013,0.2817,0.0001
10,PSPNet,mit_b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.708645,0.4537,0.2181,0.0001
10,PSPNet,mit_b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,6.301861,0.3785,0.1408,0.0001
8,PSPNet,mit_b3,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,6.067288,0.425,0.0586,0.0001
9,PSPNet,timm-efficientnet-b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,5.189446,0.5102,0.2786,0.0001
8,PSPNet,mit_b3,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.44712,0.5208,0.2211,9.755e-05
10,PSPNet,mit_b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.65992,0.499,0.2224,9.755e-05
9,PSPNet,timm-efficientnet-b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.115548,0.5196,0.2794,9.755e-05
8,PSPNet,mit_b3,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,5.957438,0.5155,0.2203,9.045e-05
10,PSPNet,mit_b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,6.068386,0.5003,0.2032,9.045e-05
9,PSPNet,timm-efficientnet-b2,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,5.112396,0.5276,0.2876,9.045e-05
8,PSPNet,mit_b3,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",4,5.589036,0.5191,0.2394,7.939e-05
